elapsed_s,robot_x,robot_y,robot_theta,human_x,human_y,human_theta,distance,alpha_deg,alpha_rad,dist_error,r_d,r_alpha,reward,action
11.234,5.6223,-0.4933,1.275,2.5,0.3605,1.5708,3.2369,105.294,1.8377,1.7369,0.1908,-1.0,-0.8092,left
11.525,5.6447,-0.3909,1.425,2.5,0.4801,1.5708,3.2631,105.481,1.841,1.7631,0.1842,-1.0,-0.8158,fast_left
11.835,5.6517,-0.2806,1.575,2.5,0.6003,1.5708,3.2725,105.616,1.8433,1.7725,0.1819,-1.0,-0.8181,left
12.137,5.6417,-0.1593,1.725,2.5,0.7203,1.5708,3.2625,105.642,1.8438,1.7625,0.1844,-1.0,-0.8156,fast_left
12.426,5.6162,-0.0533,1.875,2.5,0.8401,1.5708,3.2417,105.998,1.85,1.7417,0.1896,-1.0,-0.8104,fast_left
12.736,5.569,0.0634,2.025,2.5,0.9603,1.5708,3.1973,106.29,1.8551,1.6973,0.2007,-1.0,-0.7993,fast_left
13.032,5.5049,0.1718,2.175,2.4197,1.0,3.1416,3.1944,164.973,2.8793,1.6944,0.2014,-1.0,-0.7986,fast_left
13.325,5.4253,0.2693,2.325,2.2999,1.0,3.1416,3.2097,166.842,2.9119,1.7097,0.1976,-1.0,-0.8024,fast_left
13.635,5.3321,0.3539,2.475,2.1797,1.0,3.1416,3.2179,168.417,2.9394,1.7179,0.1955,-1.0,-0.8045,fast_left
13.924,5.2272,0.4236,2.625,2.0599,1.0,3.1416,3.2193,169.686,2.9616,1.7193,0.1952,-1.0,-0.8048,fast_left
14.232,5.1131,0.4768,2.775,1.9397,1.0,3.1416,3.2163,170.638,2.9782,1.7163,0.1959,-1.0,-0.8041,fast_left
14.529,4.9924,0.5124,2.925,1.8198,1.0,3.1416,3.2098,171.263,2.9891,1.7098,0.1975,-1.0,-0.8025,fast_left
14.829,4.8677,0.5295,3.075,1.6998,1.0,3.1416,3.2026,171.553,2.9942,1.7026,0.1993,-1.0,-0.8007,fast_left
15.124,4.7418,0.5279,-3.0582,1.5799,1.0,3.1416,3.197,171.507,2.9934,1.697,0.2007,-1.0,-0.7993,fast_left
15.332,4.6587,0.5163,-2.9582,1.4997,1.0,3.1416,3.1957,171.294,2.9896,1.6957,0.2011,-1.0,-0.7989,fast_straight
15.628,4.5331,0.4823,-2.8124,1.3798,1.0,3.1416,3.1955,170.676,2.9789,1.6955,0.2011,-1.0,-0.7989,fast_right
15.923,4.3882,0.4226,-2.7044,1.2599,1.0,3.1416,3.1811,169.543,2.9591,1.6811,0.2047,-1.0,-0.7953,fast_right
